"PRES","HGHT","TEMP","DWPT","RELH","MIXR","DRCT","SKNT","THTA","THTE","THTV"
927,751,27.4,18.4,58,14.58,315,3,307.1,351.4,309.8
925,767,27.6,17.6,54,13.88,320,3,307.5,349.7,310.1
909.7,914,26.2,17.3,58,13.82,330,3,307.5,349.5,310.1
878.7,1219,23.2,16.6,66,13.69,280,3,307.5,349,310
871,1297,22.4,16.4,69,13.66,269,5,307.4,348.9,310
860,1408,23.6,13.6,53,11.51,254,7,309.8,345.2,312
850,1510,22.8,14.8,61,12.61,240,9,310,348.8,312.4
819.2,1829,19.9,13.7,67,12.16,225,9,310.3,347.7,312.5
790.8,2134,17.2,12.6,75,11.74,225,12,310.5,346.6,312.6
785,2197,16.6,12.4,76,11.66,222,12,310.5,346.4,312.7
763,2438,14.9,10.3,74,10.44,210,13,311.2,343.5,313.1
747,2618,13.6,8.8,73,9.6,225,12,311.7,341.5,313.5
736,2743,12.6,8.3,75,9.43,235,11,311.9,341.3,313.7
709.7,3048,10.3,7.1,81,9.02,240,14,312.6,340.8,314.3
700,3163,9.4,6.7,83,8.87,240,14,312.9,340.6,314.5
698,3187,9.2,6.6,84,8.83,240,14,312.9,340.6,314.6
659.3,3658,6.6,2.1,73,6.79,235,19,315.1,336.7,316.4
657,3687,6.4,1.8,72,6.68,235,19,315.2,336.5,316.5
640,3901,5.2,-1.8,61,5.27,235,20,316.2,333.3,317.2
613,4252,2.6,-4.4,60,4.53,235,21,317.1,331.9,318
611.8,4267,2.5,-4.6,59,4.45,235,21,317.2,331.8,318
589.1,4572,0.4,-9.4,48,3.21,220,21,318.2,328.9,318.8
587,4601,0.2,-9.8,47,3.11,221,21,318.3,328.7,318.9
571,4822,-0.3,-14.3,34,2.22,232,22,320.2,327.9,320.7
567.1,4877,-0.6,-15.4,32,2.04,235,22,320.6,327.6,320.9
562,4949,-0.9,-16.9,29,1.82,235,23,321,327.3,321.3
553,5077,-1.7,-31.7,8,0.49,235,24,321.5,323.4,321.6
545.7,5182,-2.4,-33.1,7,0.43,235,25,321.9,323.6,322
525.1,5486,-4.4,-37.3,6,0.3,230,23,323.1,324.2,323.1
524,5503,-4.5,-37.5,6,0.29,229,23,323.1,324.3,323.2
505.1,5791,-5.9,-32.6,10,0.49,215,27,324.8,326.7,324.9
500,5870,-6.3,-31.3,12,0.56,220,28,325.3,327.4,325.4
494,5964,-6.9,-29.9,14,0.65,224,30,325.7,328.1,325.8
491,6012,-7.1,-24.1,24,1.12,226,31,326,330.1,326.2
488,6059,-7.3,-23.3,27,1.21,228,32,326.3,330.7,326.6
485.7,6096,-7.4,-26,21,0.95,230,33,326.6,330.1,326.8
480,6188,-7.7,-32.7,11,0.51,230,34,327.4,329.4,327.5
464,6451,-8.9,-29.9,16,0.69,229,37,329.1,331.7,329.2
452,6653,-10.7,-22.7,37,1.37,228,39,329.3,334.3,329.6
423,7159,-14.5,-30.5,24,0.72,226,44,330.7,333.5,330.9
414.4,7315,-15.8,-31.8,24,0.64,225,46,331,333.4,331.1
414,7322,-15.9,-31.9,24,0.64,225,46,331,333.4,331.1
401,7561,-17.9,-27.9,41,0.97,230,44,331.4,335,331.6
400,7580,-17.9,-27.9,41,0.97,230,44,331.6,335.3,331.8
397.9,7620,-18.1,-27.6,43,1,230,44,331.9,335.7,332.1
386,7847,-18.9,-25.9,54,1.21,234,43,333.7,338.2,334
384,7885,-18.7,-32.7,28,0.64,234,42,334.5,337,334.6
382,7925,-18.9,-36.6,19,0.44,235,42,334.7,336.5,334.8
378,8003,-19.3,-44.3,9,0.2,235,43,335.2,336,335.2
369,8182,-19.9,-44.9,9,0.19,234,45,336.7,337.5,336.8
329,9024,-26.3,-51.3,8,0.1,231,56,339.1,339.6,339.2
323.6,9144,-26.1,-56.5,4,0.06,230,57,341,341.2,341
322,9180,-26.1,-58.1,3,0.05,230,58,341.5,341.7,341.5
304,9595,-28.5,-60.5,3,0.04,230,64,343.8,344,343.8
300,9690,-28.5,-62.5,2,0.03,230,65,345.1,345.2,345.1
295,9810,-28.3,-63.3,2,0.03,230,67,347,347.2,347.1
278,10230,-30.9,-63.9,2,0.03,230,74,349.2,349.4,349.2
262,10646,-33.9,-65.9,2,0.02,230,81,350.8,350.9,350.8
250,10970,-37.1,-67.1,3,0.02,230,86,350.8,350.9,350.8
238.9,11278,-39.9,-68.4,3,0.02,230,88,351.1,351.2,351.1
238,11304,-40.2,-68.5,3,0.02,230,88,351.1,351.2,351.1
215,11993,-46.5,-71.5,4,0.01,233,83,351.6,351.7,351.6
203,12372,-48.9,-72.9,4,0.01,235,80,353.7,353.7,353.7
200,12470,-49.7,-73.7,4,0.01,235,79,353.9,353.9,353.9
173,13402,-58.1,-76.1,8,0.01,235,74,355,355.1,355
159,13929,-61.5,-80.5,6,0,235,71,357.9,357.9,357.9
156.7,14021,-61.5,-81,6,0,235,71,359.4,359.5,359.4
154,14127,-61.5,-81.5,5,0,233,68,361.2,361.2,361.2
150,14290,-62.9,-83.9,4,0,230,64,361.5,361.5,361.5
134.9,14935,-67.3,-87.4,4,0,245,53,364.8,364.8,364.8
133,15022,-67.9,-87.9,4,0,241,50,365.3,365.3,365.3
128.3,15240,-67.8,-87.3,5,0,230,43,369.2,369.3,369.2
124,15444,-67.7,-86.7,5,0,227,41,373,373,373
120,15641,-68.9,-87.9,5,0,223,39,374.3,374.3,374.3
115.8,15850,-70.8,-89,5,0,220,37,374.7,374.7,374.7
110,16156,-73.5,-90.5,6,0,227,37,375.1,375.1,375.1
105,16427,-75.1,-90.1,8,0,234,36,377.1,377.1,377.1
104.4,16459,-75.3,-90.3,8,0,235,36,377.4,377.4,377.4
103,16538,-75.7,-90.7,8,0,230,29,378,378,378
101,16652,-74.9,-88.9,10,0,237,26,381.7,381.7,381.7
100,16710,-73.5,-88.5,9,0,240,25,385.5,385.5,385.5
97.5,16858,-73.9,-87.9,10,0,255,23,387.5,387.5,387.5
94.2,17059,-71.7,-86.7,9,0,274,19,395.6,395.6,395.6
86.1,17587,-72.9,-87.9,9,0,326,11,403.5,403.5,403.5
84.2,17718,-71.1,-87.1,8,0,339,8,409.7,409.8,409.7
82.3,17853,-72.3,-88.3,7,0,352,6,410,410,410
80.8,17961,-70.7,-87.7,7,0,3,4,415.4,415.4,415.4
80.5,17983,-70.6,-87.7,7,0,5,4,416,416,416
76.5,18288,-69.8,-88.3,5,0,130,16,423.9,424,423.9
75.3,18380,-69.5,-88.5,5,0,125,14,426.4,426.4,426.4
70.8,18751,-64.9,-87.9,3,0,104,7,443.8,443.8,443.8
70,18820,-65.1,-88.1,3,0,100,6,444.8,444.8,444.8
67.4,19051,-65.5,-89.5,2,0,115,12,448.8,448.8,448.8
65.8,19202,-64.8,-89.5,2,0,125,16,453.5,453.5,453.5
62.6,19507,-63.3,-89.4,2,0,160,18,463.2,463.2,463.2
56.7,20117,-60.3,-89.3,1,0,0,0,483.2,483.2,483.2
56.6,20126,-60.3,-89.3,1,0,1,0,483.5,483.5,483.5
53.1,20524,-60.7,-89.7,1,0,33,7,491.5,491.5,491.5
51.4,20726,-59.7,-88.7,1,0,50,11,498.3,498.3,498.3
50,20900,-58.9,-87.9,1,0,55,14,504.2,504.3,504.2
46.9,21303,-57.5,-87.5,1,0,83,21,516.9,516.9,516.9
46.6,21336,-57.6,-87.6,1,0,85,22,517.4,517.5,517.4
44.5,21641,-58.6,-88.6,1,0,95,29,522.3,522.3,522.3
44.2,21676,-58.7,-88.7,1,0,95,27,522.8,522.8,522.8
42.4,21946,-57.4,-87.7,1,0,95,14,532.5,532.5,532.5
38.9,22485,-54.7,-85.7,1,0.01,91,18,552.4,552.4,552.4
38.5,22555,-54.8,-85.8,1,0.01,90,18,553.8,553.9,553.8
37.3,22754,-55.1,-86.1,1,0.01,80,16,558,558.1,558
36.7,22860,-53.8,-85.3,1,0.01,75,15,564.1,564.1,564.1
36.2,22946,-52.7,-84.7,1,0.01,79,14,569,569.1,569
35,23165,-53.5,-85.2,1,0.01,90,13,572.6,572.7,572.6
33.4,23470,-54.5,-85.9,1,0.01,75,13,577.7,577.7,577.7
31.9,23756,-55.5,-86.5,1,0.01,77,17,582.4,582.5,582.4
30.3,24079,-53.4,-85.2,1,0.01,80,22,596.7,596.7,596.7
30,24150,-52.9,-84.9,1,0.01,80,21,599.8,599.9,599.8
29.8,24193,-52.3,-85.3,1,0.01,82,21,602.6,602.7,602.6
28.9,24384,-52.4,-85.2,1,0.01,90,22,607.4,607.5,607.4
27.6,24689,-52.6,-85.1,1,0.01,105,21,615.2,615.3,615.2
26.3,24994,-52.8,-85,1,0.01,90,22,623,623.1,623
25.5,25199,-52.9,-84.9,1,0.01,98,24,628.3,628.5,628.3
24,25591,-50.7,-83.7,1,0.02,113,27,645.7,645.9,645.7
22.9,25908,-51.2,-83.4,1,0.02,125,29,653.3,653.5,653.3
22.6,25982,-51.3,-83.3,1,0.02,120,29,655.1,655.3,655.1
21.8,26213,-50.5,-83.1,1,0.02,105,27,664,664.2,664
20.8,26518,-49.5,-82.9,1,0.02,110,34,675.9,676.1,675.9
20,26780,-48.7,-82.7,1,0.02,115,23,686.3,686.6,686.4
19,27127,-47.8,-82.1,1,0.03,115,24,699.6,699.9,699.6
18.1,27432,-46.9,-81.5,1,0.03,100,17,711.5,711.8,711.5
17.3,27737,-46.1,-81,1,0.03,115,11,723.5,723.9,723.5
16.9,27894,-45.7,-80.7,1,0.04,110,10,729.8,730.2,729.8
15.1,28651,-46.2,-81.3,1,0.04,85,5,752.1,752.5,752.1
15.1,28643,-46.3,-81.3,1,0.04,85,5,751.7,752.1,751.7
14.3,29006,-44.3,-80.3,1,0.04,50,15,770.2,770.7,770.2
13.8,29261,-45.1,-80.4,1,0.05,25,22,775.9,776.5,776
13.5,29390,-45.5,-80.5,1,0.05,31,22,778.9,779.4,778.9
12.5,29906,-43.1,-79.1,1,0.06,57,20,804.6,805.3,804.6
12,30175,-43.9,-79.8,1,0.06,70,19,811.2,811.9,811.2
